empleado_id,departamento,ubicacion,turno,tipo_incidente,gravedad,causa_raiz,area,fecha,hora,mes,anio,trimestre,dias_perdidos,es_registrable,es_lti
1000,Perforación,Neuquén - Vaca Muerta,Diurno,Primeros auxilios,1,Falta de EPP,Pozos / Drilling,2023-03-22,15,3,2023,Q1,0,0,0
1001,Perforación,Salta - NOA,Rotativo 14x14,Primeros auxilios,1,Comunicación deficiente,Oficina / Comedor,2024-03-23,15,3,2024,Q1,0,0,0
1001,Perforación,Salta - NOA,Rotativo 14x14,Incidente ambiental,2,Comunicación deficiente,Transporte en ruta,2023-01-13,15,1,2023,Q1,0,1,0
1001,Perforación,Salta - NOA,Rotativo 14x14,Tiempo perdido (LTI),3,Procedimiento inadecuado,Área eléctrica,2024-07-16,9,7,2024,Q3,9,1,1
1001,Perforación,Salta - NOA,Rotativo 14x14,Fatalidad,5,Condición climática,Transporte en ruta,2023-01-18,18,1,2023,Q1,0,1,0
1003,Perforación,Salta - NOA,Nocturno,Primeros auxilios,1,Condición insegura,Taller mecánico,2024-10-16,18,10,2024,Q4,0,0,0
1003,Perforación,Salta - NOA,Nocturno,Primeros auxilios,1,Condición insegura,Pozos / Drilling,2022-07-30,13,7,2022,Q3,0,0,0
1005,Perforación,Salta - NOA,Diurno,Casi accidente (near miss),0,Acto inseguro,Transporte en ruta,2023-03-23,12,3,2023,Q1,0,0,0
1006,Perforación,Chubut - San Jorge,Diurno,Tiempo perdido (LTI),3,Procedimiento inadecuado,Pozos / Drilling,2024-12-10,2,12,2024,Q4,6,1,1
1007,Perforación,Salta - NOA,Rotativo 14x14,Primeros auxilios,1,Comunicación deficiente,Área eléctrica,2022-07-28,20,7,2022,Q3,0,0,0
1009,Perforación,Chubut - San Jorge,Rotativo 14x14,Casi accidente (near miss),0,Condición insegura,Área eléctrica,2023-01-25,10,1,2023,Q1,0,0,0
1013,Perforación,Neuquén - Vaca Muerta,Rotativo 7x7,Casi accidente (near miss),0,Falta de EPP,Pozos / Drilling,2024-12-02,14,12,2024,Q4,0,0,0
1015,Perforación,Neuquén - Vaca Muerta,Nocturno,Tratamiento médico,2,Procedimiento inadecuado,Oficina / Comedor,2024-12-08,13,12,2024,Q4,0,1,0
1016,Perforación,Neuquén - Vaca Muerta,Rotativo 14x14,Primeros auxilios,1,Acto inseguro,Tanques / Almacenamiento,2024-01-08,14,1,2024,Q1,0,0,0
1016,Perforación,Neuquén - Vaca Muerta,Rotativo 14x14,Casi accidente (near miss),0,Comunicación deficiente,Tanques / Almacenamiento,2024-08-01,12,8,2024,Q3,0,0,0
1017,Perforación,Neuquén - Vaca Muerta,Rotativo 14x14,Primeros auxilios,1,Falta de EPP,Pozos / Drilling,2024-01-14,12,1,2024,Q1,0,0,0
1018,Perforación,Neuquén - Vaca Muerta,Rotativo 7x7,Casi accidente (near miss),0,Condición climática,Pozos / Drilling,2024-01-30,15,1,2024,Q1,0,0,0
1018,Perforación,Neuquén - Vaca Muerta,Rotativo 7x7,Tratamiento médico,2,Acto inseguro,Tanques / Almacenamiento,2023-10-02,19,10,2023,Q4,0,1,0
1019,Perforación,Neuquén - Vaca Muerta,Rotativo 14x14,Casi accidente (near miss),0,Fatiga/turno extendido,Taller mecánico,2023-11-23,13,11,2023,Q4,0,0,0
1021,Perforación,Neuquén - Vaca Muerta,Nocturno,Casi accidente (near miss),0,Falla de equipo,Área eléctrica,2023-03-13,17,3,2023,Q1,0,0,0
1024,Perforación,Neuquén - Vaca Muerta,Nocturno,Casi accidente (near miss),0,Falla de equipo,Área eléctrica,2023-04-24,18,4,2023,Q2,0,0,0
1024,Perforación,Neuquén - Vaca Muerta,Nocturno,Casi accidente (near miss),0,Fatiga/turno extendido,Oficina / Comedor,2024-03-29,13,3,2024,Q1,0,0,0
1026,Perforación,Neuquén - Vaca Muerta,Rotativo 14x14,Casi accidente (near miss),0,Condición insegura,Área eléctrica,2023-06-13,10,6,2023,Q2,0,0,0
1026,Perforación,Neuquén - Vaca Muerta,Rotativo 14x14,Tratamiento médico,2,Procedimiento inadecuado,Transporte en ruta,2022-08-25,15,8,2022,Q3,0,1,0
1027,Perforación,Chubut - San Jorge,Rotativo 14x14,Tiempo perdido (LTI),3,Falta de EPP,Taller mecánico,2022-11-09,14,11,2022,Q4,30,1,1
1027,Perforación,Chubut - San Jorge,Rotativo 14x14,Tratamiento médico,2,Condición climática,Tanques / Almacenamiento,2023-05-03,5,5,2023,Q2,0,1,0
1029,Perforación,Chubut - San Jorge,Diurno,Tiempo perdido (LTI),3,Condición climática,Oficina / Comedor,2022-06-22,13,6,2022,Q2,7,1,1
1030,Perforación,Chubut - San Jorge,Rotativo 7x7,Casi accidente (near miss),0,Condición climática,Planta compresora,2023-04-25,10,4,2023,Q2,0,0,0
1031,Perforación,Neuquén - Vaca Muerta,Nocturno,Tiempo perdido (LTI),3,Fatiga/turno extendido,Transporte en ruta,2022-09-11,8,9,2022,Q3,2,1,1
1031,Perforación,Neuquén - Vaca Muerta,Nocturno,Tratamiento médico,2,Procedimiento inadecuado,Oficina / Comedor,2024-04-21,10,4,2024,Q2,0,1,0
1032,Perforación,Neuquén - Vaca Muerta,Rotativo 7x7,Primeros auxilios,1,Fatiga/turno extendido,Planta compresora,2024-09-23,17,9,2024,Q3,0,0,0
1032,Perforación,Neuquén - Vaca Muerta,Rotativo 7x7,Casi accidente (near miss),0,Acto inseguro,Planta compresora,2023-12-16,13,12,2023,Q4,0,0,0
1032,Perforación,Neuquén - Vaca Muerta,Rotativo 7x7,Tiempo perdido (LTI),3,Procedimiento inadecuado,Planta compresora,2023-01-11,11,1,2023,Q1,8,1,1
1039,Perforación,Neuquén - Vaca Muerta,Diurno,Incapacidad permanente parcial,4,Comunicación deficiente,Oficina / Comedor,2023-08-15,15,8,2023,Q3,128,1,0
