fecha,mes,anio,trimestre,horas_hombre,incidentes_total,near_misses,registrables,lti,dias_perdidos,dias_ausencia_total,tasa_ausentismo_pct,ltifr,trifr,ratio_nm_a_lti
2022-01-01,1,2022,Q1,161500,17,7,7,1,190,346,1.85,6.192,43.3437,7.0
2022-02-01,2,2022,Q1,161500,15,10,4,2,110,308,1.647,12.3839,24.7678,5.0
2022-03-01,3,2022,Q1,161500,20,12,5,1,1,222,1.187,6.192,30.9598,12.0
2022-04-01,4,2022,Q2,161500,31,13,12,6,105,542,2.898,37.1517,74.3034,2.2
2022-05-01,5,2022,Q2,161500,20,9,6,4,114,338,1.807,24.7678,37.1517,2.2
2022-06-01,6,2022,Q2,161500,17,6,3,3,13,321,1.717,18.5759,18.5759,2.0
2022-07-01,7,2022,Q3,161500,29,11,7,0,101,281,1.503,0.0,43.3437,11.0
2022-08-01,8,2022,Q3,161500,18,9,4,0,61,352,1.882,0.0,24.7678,9.0
2022-09-01,9,2022,Q3,161500,27,11,10,3,106,234,1.251,18.5759,61.9195,3.7
2022-10-01,10,2022,Q4,161500,22,7,10,1,255,386,2.064,6.192,61.9195,7.0
2022-11-01,11,2022,Q4,161500,19,7,10,4,54,408,2.182,24.7678,61.9195,1.8
2022-12-01,12,2022,Q4,161500,15,9,3,0,0,332,1.775,0.0,18.5759,9.0
2023-01-01,1,2023,Q1,161500,21,8,9,2,310,390,2.086,12.3839,55.7276,4.0
2023-02-01,2,2023,Q1,161500,16,10,3,0,67,229,1.225,0.0,18.5759,10.0
2023-03-01,3,2023,Q1,161500,19,6,5,2,12,373,1.995,12.3839,30.9598,3.0
2023-04-01,4,2023,Q2,161500,18,7,8,4,148,493,2.636,24.7678,49.5356,1.8
2023-05-01,5,2023,Q2,161500,23,6,10,3,40,419,2.241,18.5759,61.9195,2.0
2023-06-01,6,2023,Q2,161500,18,11,4,1,43,313,1.674,6.192,24.7678,11.0
2023-07-01,7,2023,Q3,161500,24,12,7,2,108,368,1.968,12.3839,43.3437,6.0
2023-08-01,8,2023,Q3,161500,25,11,12,2,428,338,1.807,12.3839,74.3034,5.5
2023-09-01,9,2023,Q3,161500,16,5,6,1,225,466,2.492,6.192,37.1517,5.0
2023-10-01,10,2023,Q4,161500,22,13,4,1,122,361,1.93,6.192,24.7678,13.0
2023-11-01,11,2023,Q4,161500,24,12,5,1,175,251,1.342,6.192,30.9598,12.0
2023-12-01,12,2023,Q4,161500,20,8,5,0,102,362,1.936,0.0,30.9598,8.0
2024-01-01,1,2024,Q1,161500,23,7,7,4,18,385,2.059,24.7678,43.3437,1.8
2024-02-01,2,2024,Q1,161500,12,4,6,0,0,276,1.476,0.0,37.1517,4.0
2024-03-01,3,2024,Q1,161500,23,9,10,5,66,376,2.011,30.9598,61.9195,1.8
2024-04-01,4,2024,Q2,161500,16,6,8,2,10,426,2.278,12.3839,49.5356,3.0
2024-05-01,5,2024,Q2,161500,19,6,5,4,26,382,2.043,24.7678,30.9598,1.5
2024-06-01,6,2024,Q2,161500,22,11,10,3,337,291,1.556,18.5759,61.9195,3.7
2024-07-01,7,2024,Q3,161500,17,4,6,3,15,204,1.091,18.5759,37.1517,1.3
2024-08-01,8,2024,Q3,161500,21,13,3,2,71,252,1.348,12.3839,18.5759,6.5
2024-09-01,9,2024,Q3,161500,20,11,1,0,65,348,1.861,0.0,6.192,11.0
2024-10-01,10,2024,Q4,161500,13,5,1,0,0,395,2.112,0.0,6.192,5.0
2024-11-01,11,2024,Q4,161500,20,6,9,4,103,245,1.31,24.7678,55.7276,1.5
2024-12-01,12,2024,Q4,161500,28,13,9,3,29,426,2.278,18.5759,55.7276,4.3
